Date,Event Name,Category,Link
July 16,Golf Engineering Day,Networking,TBA
May 21,Third Thursday,Networking,TBA
September,Tapas at Mischief,Networking,TBA
December 4,Gala Dinner,Networking,TBA
May 29,Mentoring Through the Generations (ARUP),Mentoring / Careers,https://web.cvent.com/event/f522c544-06d4-4de6-b166-f65e7a7c0010/summary
June 4,Cairns Career Expo BLA,Mentoring / Careers,https://www.bla.org.au/2026-cairns-careers-expo
November,Careers Masterclass  (YEAQ),Mentoring / Careers,TBA
November,Cairns Maritime Jobs & Career Expo,Mentoring / Careers,TBA
TBA,JCU Industry Night,Mentoring / Careers,TBA
TBA,Navy Careers / Base Tour,Mentoring / Careers,TBA
May 8,CQU Flight Simulator,CPD,https://portal.engineersaustralia.org.au/node/61326
June 9-10,Cairns Transport Conference,CPD,https://www.engineersaustralia.org.au/learning-and-events/conferences-and-major-events/transport
June,Kuranda Rail / Heritage,CPD,TBA
June,Captain Cook Highway – Port Douglas,CPD,TBA
TBA,CQU Style – Systems Thinking Workshop,CPD,TBA
August,Indoor Air Quality Conference,CPD,TBA
August 4-6,Hybrid Renewables Event ,CPD,TBA
September,AI disruption of Engineering,CPD,TBA
November,CQU Style – Hybrid Academic / Industry - Explore Elec or Mech Engineering,CPD,TBA
June,Queensland WIE Event,WIE,TBA
